Appetizer,Avocado Toast,8.99,TRUE,Avocado/ whole wheat toast/ cherry tomatoes/ feta cheese,Vegetarian/ Healthy,Toasted whole wheat bread topped with smashed avocado/ cherry tomatoes/ and feta cheese. Served with a side of fresh fruit.,08:00,12:00,0,0
Appetizer,Breakfast Nachos,10.99,TRUE,Scrambled eggs/ tortilla chips/ cheddar cheese/ black beans/ salsa/ sour cream/ guacamole,Mexican/ Spicy,Tortilla chips topped with scrambled eggs/ melted cheddar cheese/ black beans/ salsa/ sour cream/ and guacamole.,08:00,12:00,0,0
Appetizer,Banana Nut Muffin,3.99,TRUE,Flour/ sugar/ baking powder/ salt/ bananas/ nuts,Vegetarian/ Baked Goods,A classic banana nut muffin with a soft/ moist crumb and a crunchy streusel topping.,08:00,12:00,0,0
Appetizer,Greek Yogurt Parfait,6.99,FALSE,Greek yogurt/ honey/ granola/ mixed berries,Vegetarian/ Healthy,Layers of creamy Greek yogurt/ sweet honey/ crunchy granola/ and mixed berries.,08:00,12:00,0,0
Appetizer,Fresh Fruit Cup,4.99,TRUE,Assorted fresh fruits,Vegetarian/ Healthy,A cup filled with a mix of seasonal fresh fruits/ perfect to start your day.,08:00,12:00,0,0
Entre,Belgian Waffles,11.99,TRUE,Waffle batter/ whipped cream/ mixed berries,Vegetarian/ Baked Goods,Light and crispy Belgian waffles topped with fluffy whipped cream and mixed berries. Served with your choice of bacon or sausage.,08:00,12:00,0,0
Entre,Breakfast Burrito,9.99,TRUE,Scrambled eggs/ chorizo/ black beans/ cheddar cheese/ salsa,Mexican/ Spicy,A hearty burrito filled with scrambled eggs/ spicy chorizo/ black beans/ melted cheddar cheese/ and salsa. Served with a side of hash browns.,08:00,12:00,0,0
Entre,Eggs Benedict,12.99,TRUE,English muffin/ poached eggs/ Canadian bacon/ hollandaise sauce,American/ Brunch,A classic brunch dish featuring toasted English muffin halves topped with Canadian bacon/ poached eggs/ and creamy hollandaise sauce. Served with a side of hash browns.,08:00,12:00,0,0
Entre,Breakfast Quesadilla,10.99,FALSE,Scrambled eggs/ bacon/ cheddar cheese/ pico de gallo/ sour cream,Mexican/ Spicy,A breakfast twist on a classic quesadilla/ with scrambled eggs/ crispy bacon/ melted cheddar cheese/ pico de gallo/ and a dollop of sour cream.,08:00,12:00,0,0
Entre,Huevos Rancheros,11.99,TRUE,Corn tortillas/ refried beans/ fried eggs/ cheddar cheese/ salsa/ avocado,Mexican/ Spicy,Two corn tortillas topped with refried beans/ fried eggs/ melted cheddar cheese/ salsa/ and sliced avocado. Served with a side of hash browns.,08:00,12:00,0,0
